date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:51	18416/18416	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202019%2009:16:48%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e7%a7%91%e5%ad%a6%e4%b8%8a%e7%bd%91	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index.php/%e7%a7%91%e5%ad%a6%e4%b8%8a%e7%bd%91.html	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:52	20039/20039	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202019%2009:16:48%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e6%89%80%e6%9c%89%e9%a1%b5%e9%9d%a2	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index.php/%e6%89%80%e6%9c%89%e9%a1%b5%e9%9d%a2.html	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:52	24754/24754	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202019%2009:16:49%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php?title=%e9%a6%96%e9%a1%b5&oldid=375	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/indexf58c.html	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:53	15730/15730	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202019%2009:16:49%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php?title=%E7%89%B9%E6%AE%8A:%E7%94%A8%E6%88%B7%E7%99%BB%E5%BD%95&returnto=%E9%A6%96%E9%A1%B5&type=signup	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index8930.html	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:53	14195/14195	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202019%2009:16:49%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php?title=%E7%89%B9%E6%AE%8A:%E7%94%A8%E6%88%B7%E7%99%BB%E5%BD%95&returnto=%E9%A6%96%E9%A1%B5	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/indexe8ae.html	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:53	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2013%20May%202019%2009:16:50%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php?title=%E8%AE%A8%E8%AE%BA:%E9%A6%96%E9%A1%B5&action=edit&redlink=1	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index.24cb8e.delayed	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:54	13457/13457	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2013%20May%202019%2009:16:50%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php/%E8%AE%A8%E8%AE%BA:%E9%A6%96%E9%A1%B5	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index.php/%e8%ae%a8%e8%ae%ba_%e9%a6%96%e9%a1%b5.25.delayed	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:54	21536/21536	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202019%2009:16:51%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php?title=%E9%A6%96%E9%A1%B5&action=edit	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index3d49.html	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:55	90649/90649	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202019%2009:16:51%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php?title=%E9%A6%96%E9%A1%B5&action=history	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index2771.html	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:56	18056/18056	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2013%20May%202019%2009:16:52%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e7%89%b9%e6%ae%8a:%e6%9c%80%e8%bf%91%e6%9b%b4%e6%94%b9	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index.php/%e7%89%b9%e6%ae%8a_%e6%9c%80%e8%bf%91%e6%9b%b4%e6%94%b9.29.delayed	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:56	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2013%20May%202019%2009:16:53%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e7%89%b9%e6%ae%8a:%e9%9a%8f%e6%9c%ba%e9%a1%b5%e9%9d%a2	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index.php/%e7%89%b9%e6%ae%8a_%e9%9a%8f%e6%9c%ba%e9%a1%b5%e9%9d%a2.2a.delayed	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:56	22589/22589	---M--	200	added ('OK')	image/png	date:Mon,%2013%20May%202019%2009:16:52%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/resources/assets/wiki.png	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/resources/assets/wiki.png	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:57	22875/22875	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202019%2009:16:53%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php/%E4%BD%BF%E7%94%A8%E5%8A%A8%E6%80%81%E5%8F%A3%E4%BB%A4%E5%92%8C%E7%94%A8%E6%88%B7%E5%AF%86%E7%A0%81%E7%99%BB%E5%BD%95%E6%9C%8D%E5%8A%A1%E5%99%A8	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index.php/%e4%bd%bf%e7%94%a8%e5%8a%a8%e6%80%81%e5%8f%a3%e4%bb%a4%e5%92%8c%e7%94%a8%e6%88%b7%e5%af%86%e7%a0%81%e7%99%bb%e5%bd%95%e6%9c%8d%e5%8a%a1%e5%99%a8-2.html	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:57	4880/4880	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Mon,%2013%20May%202019%2009:16:53%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e7%89%b9%e6%ae%8a:%e9%93%be%e5%85%a5%e9%a1%b5%e9%9d%a2/%e9%a6%96%e9%a1%b5	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index.php/%e7%89%b9%e6%ae%8a_%e9%93%be%e5%85%a5%e9%a1%b5%e9%9d%a2/%e9%a6%96%e9%a1%b5.2c.delayed	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:57	5918/5918	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Mon,%2013%20May%202019%2009:16:54%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e7%89%b9%e6%ae%8a:%e7%9b%b8%e5%85%b3%e6%9b%b4%e6%94%b9/%e9%a6%96%e9%a1%b5	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index.php/%e7%89%b9%e6%ae%8a_%e7%9b%b8%e5%85%b3%e6%9b%b4%e6%94%b9/%e9%a6%96%e9%a1%b5.2d.delayed	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:58	0/0	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2013%20May%202019%2009:16:54%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e7%89%b9%e6%ae%8a:%e7%89%b9%e6%ae%8a%e9%a1%b5%e9%9d%a2	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index.php/%e7%89%b9%e6%ae%8a_%e7%89%b9%e6%ae%8a%e9%a1%b5%e9%9d%a2.2e.delayed	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:58	24095/24095	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202019%2009:16:54%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php?title=%E9%A6%96%E9%A1%B5&printable=yes	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index85c5.html	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:59	25152/25152	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202019%2009:16:55%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php?title=%E9%A6%96%E9%A1%B5&oldid=375	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index6b45.html	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
17:16:59	17768/17768	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20May%202019%2009:16:55%20GMT	http://hpc.ncpgr.cn:8093/mediawiki/index.php?title=%E9%A6%96%E9%A1%B5&action=info	C:/My%20Websites/http___hpc.ncpgr.cn_8093/hpc.ncpgr.cn_8093/mediawiki/index1aa2.html	(from http://hpc.ncpgr.cn:8093/mediawiki/index.php/%e9%a6%96%e9%a1%b5)
